activationfunction,layer,neurons,adamtime,lbfgstime,totaltime,steps,adamtrainloss1,adamtrainloss2,adamtrainloss3,adamtestloss1,adamtestloss2,adamtestloss3,lbfgstrainloss1,lbfgstrainloss2,lbfgstrainloss3,lbfgstestloss1,lbfgstestloss2,lbfgstestloss3,diffpoint,mean
tanh,2,2,2.3955416679382324,0.6121385097503662,3.0076801776885986,5287.0,0.9271977543830872,3.321291446685791,2.354206085205078,1.014453649520874,3.321291446685791,2.354206085205078,0.051621969789266586,0.054486650973558426,0.05840836465358734,0.049152519553899765,0.054486650973558426,0.05840836465358734,0.2602146914924096,0.19234749703978912
tanh,2,5,2.7216155529022217,1.621192216873169,4.342807769775391,6013.0,0.047583341598510735,0.01970426179468632,0.019353844225406647,0.03898446261882781,0.01970426179468632,0.019353844225406647,2.203407530032564e-05,5.424402388598537e-06,1.6353942555724643e-06,1.7402864614268765e-05,5.424402388598537e-06,1.6353942555724643e-06,0.0033599087273169237,0.0012995996084377887
tanh,2,10,2.847644567489624,2.5375733375549316,5.385217905044556,6506.0,0.021236987784504887,0.009219778701663016,0.008139682933688164,0.009750448167324066,0.009219778701663016,0.008139682933688164,3.079072030232055e-06,5.8113158729611314e-08,1.510036042873253e-07,3.0898972909199074e-06,5.8113158729611314e-08,1.510036042873253e-07,3.104892125613268e-05,0.00021687129937630922
tanh,2,15,3.2017149925231934,2.409888982772827,5.6116039752960205,6306.0,0.0124327028170228,0.0031020944006741047,0.006373432464897633,0.006850626319646835,0.0031020944006741047,0.006373432464897633,1.346159024251392e-06,2.5413078219571617e-07,5.756303878001745e-08,1.0849846603377955e-06,2.5413078219571617e-07,5.756303878001745e-08,0.00016037139544003431,0.00018789501670563564
tanh,2,20,3.314199447631836,1.6436767578125,4.957876205444336,5812.0,0.015582552179694176,0.0036527630873024464,0.001829501707106829,0.0053526004776358604,0.0036527630873024464,0.001829501707106829,5.049200808571186e-07,6.698900989476897e-08,3.3881999428331255e-08,4.639048256649403e-07,6.698900989476897e-08,3.3881999428331255e-08,0.00012999263158328112,0.00010059734874269774
tanh,2,25,3.654818058013916,2.1904945373535156,5.845312595367432,6039.0,0.007617746479809283,0.002356676384806633,0.0015515885315835476,0.002929265145212412,0.002356676384806633,0.0015515885315835476,3.9318101130447763e-07,8.178167121286605e-08,1.7010460595656696e-08,3.614502759319294e-07,8.178167121286605e-08,1.7010460595656696e-08,7.901105532162611e-05,0.00011363212585977245
tanh,2,30,3.8329238891601562,2.5920257568359375,6.424949645996094,6153.0,0.010212850756943224,0.001233562477864325,0.0025971678551286455,0.004321537911891936,0.001233562477864325,0.0025971678551286455,5.039084953750718e-07,7.724255368657396e-08,2.7584805550873167e-08,4.248087179803406e-07,7.724255368657396e-08,2.7584805550873167e-08,9.269032129757826e-05,0.00023820043167029103
tanh,2,35,4.123652935028076,2.712613344192505,6.836266279220581,6101.0,0.008831297047436237,0.001450402894988656,0.0026289173401892185,0.002863513771444559,0.001450402894988656,0.0026289173401892185,3.4028678896902425e-07,7.919251743260247e-08,3.010737614772552e-08,3.328905791022408e-07,7.919251743260247e-08,3.010737614772552e-08,3.8794005822462285e-06,0.00010557507551715196
tanh,2,40,4.195220708847046,3.318317174911499,7.513537883758545,6255.0,0.008540496230125427,0.0004578613152261824,0.001166266854852438,0.003316153772175312,0.0004578613152261824,0.001166266854852438,4.355089515684085e-07,3.5253361119202964e-08,3.150218930159099e-08,3.650731628113136e-07,3.5253361119202964e-08,3.150218930159099e-08,4.5483442635468885e-05,8.762612183606347e-05
tanh,3,1,2.612581968307495,0.4085965156555176,3.0211784839630127,5161.0,0.16830988228321075,9.388049125671385,35.81193542480469,0.1313091367483139,9.388049125671385,35.81193542480469,0.028231093659996983,0.09859411418437955,0.38215807080268854,0.029949050396680832,0.09859411418437955,0.38215807080268854,0.16524494204172605,0.23965517973248793
